profile_id,academic_score,financial_score,documentation_score,credibility_score,overall_score,readiness_band,key_flags,advisor_summary
STU001,92,94,95,90,93,High,"Strong academic profile; Funds well above UKVI minimum; Clean history.","Ready to proceed for UK Masters January 2026. Very low risk."
STU002,85,82,88,80,84,High,"Good academics and funds; minor study gap only.","Suitable for UK Masters January 2026 with standard monitoring."
STU003,68,72,70,74,71,Medium,"Lower second with 4-year gap; Bank history not complete.","Admissible but requires strong financial explanation and narrative."
STU004,90,88,90,82,88,High,"Excellent academic fit; solid financial proof.","Strong candidate for UK Bachelors transfer."
STU005,75,78,73,65,73,Medium,"5-year study gap; recent deposits observed.","Suitable for Canada PG route with enhanced documentation."
STU006,94,96,95,92,94,High,"Corporate sponsorship; excellent grades.","Ideal candidate for UK Masters – flagship profile."
STU007,55,60,52,58,56,Low,"Weak academics; long study gap; previous refusal.","High refusal risk – recommend reconsidering country or improving profile first."
STU008,80,76,78,72,77,Medium,"Good academic profile; modest funds.","Suitable for Europe with detailed documentation."
STU009,88,85,87,80,85,High,"Strong distinction; clean profile.","Suitable for UAE undergraduate admission."
STU010,65,70,68,60,66,Medium,"HND lower; long gap; dependants included.","Proceed only with strong narrative and complete financial evidence."
